CODIGO;TIPO;LOCALIDADE;AUTORES;TITULO;SUBTITULO;EDITORA;ANO;QTD_EXEMPLARES
40;Livro;Biblioteca SGA;Bulhões, Raíssa, Cavalcante, Manoel;A casa de minha avó;;Comunique;2017;1
41;Livro;Biblioteca SGA;Lispector, Clarice;A mulher que matou os peixes ;;Rocco;1999;2
43;Livro;Biblioteca SGA;Ferreth, Rocha, Simone;Ai, que medo de hospital;;CJA Edições;2016;2
44;Livro;Biblioteca SGA;HARARI, Yuval Noah;Uma Breve História da humanidade;sapiens;L&PM;2018;2
45;Livro;Biblioteca SGA;Ferreth;De volta para o planeta vermelho;;CJA Edições;2015;3
46;Livro;Biblioteca SGA;Borba, Gisele, Souza, Alexandre;A lenda do dragão dourado;;CJA Edições;2015;2
47;Livro;Biblioteca SGA;Souza, Alexandre, Medeiros, Marcos Antônio de Andrade;Confabulações em cordel;a formiguinha perdida;LerMais Editora;2014;1
49;Livro;Biblioteca SGA;Souza, Alexandre, Dalberto Junior;Titina e a fada dos sonhos;;CJA Edições;2017;2
50;Livro;Biblioteca SGA;VASCONCELOS, Carol;A filha de Gaia;;Ideia;2014;1
51;Livro;Biblioteca SGA;Costa, Kinha, Jardin-Wedepohl, Jess;A família arco-íris;;CJA Edições;2017;2
52;Livro;Biblioteca SGA;Duarte, Drika, Duarte, Flávia;Guerreiros de planeta;os elementos;CJA Edições;2016;2
53;Livro;Biblioteca SGA;Duarte, Drika, Duarte, Flávia;Bonito é se gostar;;CJA Edições;2018;2
55;Livro;Biblioteca SGA;Duarte, Flávia, Oliveira, Leonor;O menino do pensamento azul;;CJA Edições;2017;2
57;Livro;Biblioteca SGA;Ribeiro, João Ubaldo, Assis, Bruna;Dez bons conselhos do meu pai;;Companhia das Letras;2017;1
58;Livro;Biblioteca SGA;SUASSUNA, Ariano;Auto da compadecida;;Nova Fronteira;2018;2
59;Livro;Biblioteca SGA;Ferreth, Sena, Clemilson;O menino das cores;;CJA Edições;2016;2
61;Livro;Biblioteca SGA;Costa, Kinha, Nathanson, Nicci;Duas corujas e um gato;;CJA Edições;2016;2
62;Livro;Biblioteca SGA;SABINO, Fernando;O encontro marcado;;Record ;2015;2
63;Livro;Biblioteca SGA;Navarro, Newton;Obras completas;;Fundação José Augusto, FIERN;1998;14
67;Livro;Biblioteca SGA;ROSA, João Guimarães;Sagarana;;Nova Fronteira;2015;2
74;Livro;Biblioteca SGA;PIMENTA , Paula;Cinderela pop;;Record ;2017;1
82;Livro;Biblioteca SGA;Alecrim, Otacílio;O sistema de veto nos Estados Unidos;a receptividade brasileira;Instituto Pró-memória de Macaíba;2008;8
83;Livro;Biblioteca SGA;Alecrim, Otacílio;Fundamentos da Standard Jurídico;a individualização juriciária dos direitos;Instituto Crescer;2008;6
84;Livro;Biblioteca SGA;Alecrim, Otacílio;Ensaios de literatura e filosofia;;Instituto Pró-memória de Macaíba;2008;10
85;Livro;Biblioteca SGA;Dumas, Alexandre, Machado, Maria Ana, Dinarte, Sandro;Os três mosqueteiros;;Novo Jornal;2007;5
87;Livro;Biblioteca SGA;Petrovich, Enélio Lima;Homenagens ;saudações acadêmicas;[s.n.];203;4
90;Livro;Biblioteca SGA;Cascudo, Luís da Câmara;História da Cidade do Natal;;RN Econômico;1999;1
92;Livro;Biblioteca SGA;DIAS, Cesar;Tubarão com a faca nas costas;;Ministério da Educação;2006;4
93;Livro;Biblioteca SGA;Petrovich, Enélio Lima;Visão de um espectador;prefácios e apresentações;E. L. Petrovich;2006;2
96;Livro;Biblioteca SGA;MELO NETO, João Cabral de;Morte e vida Severina;;Objetiva;2007;3
98;Livro;Biblioteca SGA;Kupstas, Marcia;Crescer é Perigoso;;Atica;2017;1
100;Livro;Biblioteca SGA;Gonzaga, Thiago;Impressões digitai;escritores potiguares contemporâneos ;CJA Edições;2015;2
101;Livro;Biblioteca SGA;Soares, Canindé;Natal em fotos ;;Governo do Estado;[2014];3
102;Livro;Biblioteca SGA;Colombiéri, Ana Maria de Câmara, Coralina, Cora;Meu livro de cordel;;CJA Edições;2013;4
103;Livro;Biblioteca SGA;Gonzaga, Thiago;A arte poética de Diógenes da Cunha Lima;;CJA Edições;2015;4
104;Livro;Biblioteca SGA;Freitas, Alberto Gondim de;Transcedência e tolerância;;CJA Edições;2015;1
106;Livro;Biblioteca SGA;LUCENA, Ana Claúdia Trigueiro de;O mistério do Verde nasce;;CJA Edições;2018;2
107;Livro;Biblioteca SGA;Azevedo Júnior, Aluísio;Intifadas dos pinholés: uma revolução política na Cidade de Castanholas;;Una;2010;1
108;Livro;Biblioteca SGA;Lispector, Clarice;A Paixão Segundo G.H.;;Rocco;2009;2
109;Livro;Biblioteca SGA;Lispector, Clarice;A hora da estrela;;Rocco;1998;2
111;Livro;Biblioteca SGA;Arcanjo, Clauder , Alencart, Alfredo Pérez, Leite, David, Nicodemos, José, Souza, Lilia, Onofre Júnior, Manoel, Azevedo, Sânzio;Pílulas para o silêncio;;Sarau das Letras;2014;2
112;Livro;Biblioteca SGA;LINS, Osman;Lisbela e o Prisioneiro;;Planeta do Brasil;2015;2
118;Livro;Biblioteca SGA;Grant, Reg ... [et al.];O livro da História;;Globo;2020;2
119;Livro;Biblioteca SGA;Collin, Cstherine ... [et al.] , Grahan, James ...[et al.];O livro da Psicologia;;Globo;2020;2
120;Livro;Biblioteca SGA;Grahan, James ...[et al.], Buckingham, Will ... [et al.];O livro da Filosofia;;Globo;2020;2
122;Livro;Biblioteca SGA;Moreira, Zenóbia Collares;A poesia maneirista portuguesa ;;EDUFRN;1999;1
124;Livro;Biblioteca SGA;Tapioca, Roberto;Lapião, o mito;;Ed. do autor;2004;1
126;Livro;Biblioteca SGA;TYSON, Neil Degrasse;Astrofísica para apressados;;Planeta do Brasil;2017;2
127;Livro;Biblioteca SGA;Silva, Abimael;As 14 das mais poesia potiguar;;Sebo Vermelho;2007;1
128;Livro;Biblioteca SGA;ANDRADE, João;Contos de escuridão e rutilância;;CJA Edições;2017;2
129;Livro;Biblioteca SGA;LIMA, Síria Sousa de;Contos encantados em Cordel;;CJA Edições;2015;3
131;Livro;Biblioteca SGA;Menezes, Fátima;Lampião em Juazeiro do Padre Cícero;a versão que faltava sobre a famigerada patente de capitão;ETFRN-UNED;1996;1
132;Livro;Biblioteca SGA;ÌNDIGO;Cobras em compota;;Ministério da Educação;2006;13
133;Livro;Biblioteca SGA;Costa, Luciana;Que a poesia te envenene...;;Comunicarte;[s. d.];1
135;Livro;Biblioteca SGA;WERNECK, Sandra;Olho no Olho com a Medusa;;CJA Edições;2017;1
136;Livro;Biblioteca SGA;Gullar, Ferreira;Poema sujo;;Companhia das Letras;2016;2
138;Livro;Biblioteca SGA;Nascimento, Alex;Um beijo e tchau;;8 editora ;2015;1
